week_end_utc,plotted_at,project,module_compiles,median_s,p90_s,max_s,total_module_s
2026-07-31,2026-07-31,erdos-97-96-formalization,11247,18.0,64.0,7990.0,1332005
2026-08-07,2026-08-07,erdos-97-96-formalization,7519,20.0,67.0,7835.0,1010396
2026-08-14,2026-08-14,erdos-97-96-formalization,5279,16.0,65.0,4645.0,708767
2026-08-21,2026-08-21,erdos-97-96-formalization,1861,8.9,51.0,2332.0,53789
2026-08-28,2026-08-28,erdos-97-96-formalization,1171,6.1,25.0,314.0,16079
2026-09-04,2026-09-04,erdos-97-96-formalization,3766,17.0,210.0,15065.0,1210796
2026-09-11,2026-09-07,erdos-97-96-formalization,2744,22.0,220.0,14094.0,1271613
2026-08-07,2026-08-07,esgk-on3,32,5.6,24.0,28.0,354
2026-08-14,2026-08-14,esgk-on3,46,4.7,24.0,30.0,339
2026-08-28,2026-08-28,esgk-on3,715,4.2,13.0,46.0,4569
2026-09-04,2026-09-04,esgk-on3,492,4.3,9.5,46.0,2850
2026-07-31,2026-07-31,the-missing-pair,1,31.0,31.0,31.0,31
2026-08-07,2026-08-07,the-missing-pair,2769,24.0,395.0,1767.0,300548
2026-08-14,2026-08-14,the-missing-pair,3353,6.7,16.0,51.0,26255
2026-08-21,2026-08-21,the-missing-pair,10,2.7,15.0,15.0,52
2026-09-04,2026-09-04,the-missing-pair,1,16.0,16.0,16.0,16
2026-08-28,2026-08-28,schur-numbers,1851,51.0,82.0,127.0,90653
2026-09-04,2026-09-04,schur-numbers,522,79.0,134.0,170.0,32902
