snapshot_date_utc,project,lean_files,lean_source_bytes,revision
2026-05-01,the-missing-pair,675,327852476,f5223fa
2026-05-08,the-missing-pair,8076,1521577083,481f3ad
2026-05-15,the-missing-pair,8136,1538301776,db43440
2026-05-22,the-missing-pair,8137,1538497966,7967a07
2026-05-29,the-missing-pair,8137,1538497966,7967a07
2026-06-05,the-missing-pair,19398,10934187231,9811e0a
2026-06-12,the-missing-pair,19398,10934187231,9811e0a
2026-06-19,the-missing-pair,19398,10934187231,9811e0a
2026-06-26,the-missing-pair,19398,10934187231,9811e0a
2026-07-03,the-missing-pair,19398,10934191766,ba11389
2026-07-10,the-missing-pair,19398,10934191766,ba11389
2026-07-17,the-missing-pair,19441,10944841789,ddb1cc1
2026-07-24,the-missing-pair,19441,10944841789,ddb1cc1
2026-07-31,the-missing-pair,19441,10944841789,ddb1cc1
2026-08-07,the-missing-pair,16378,2856222547,dfa9098
2026-08-14,the-missing-pair,16433,2856840667,434ae42
2026-08-21,the-missing-pair,16433,2856841372,2b50393
2026-08-28,the-missing-pair,16433,2856841372,311f1da
2026-09-04,the-missing-pair,16433,2856841372,311f1da
2026-09-07,the-missing-pair,16433,2856841372,9b76827
2026-05-01,erdos-97-96-formalization,,,
2026-05-08,erdos-97-96-formalization,,,
2026-05-15,erdos-97-96-formalization,,,
2026-05-22,erdos-97-96-formalization,,,
2026-05-29,erdos-97-96-formalization,,,
2026-06-05,erdos-97-96-formalization,,,
2026-06-12,erdos-97-96-formalization,,,
2026-06-19,erdos-97-96-formalization,94,2767131,b636650
2026-06-26,erdos-97-96-formalization,94,2767131,b636650
2026-07-03,erdos-97-96-formalization,94,2766532,f708440
2026-07-10,erdos-97-96-formalization,13034,924108160,3e2fac1
2026-07-17,erdos-97-96-formalization,13852,931184679,44cb553
2026-07-24,erdos-97-96-formalization,13897,931889171,89d2e11
2026-07-31,erdos-97-96-formalization,15951,943648493,1b867b3
2026-08-07,erdos-97-96-formalization,16415,947434896,2106a96
2026-08-14,erdos-97-96-formalization,16859,952708789,eb28d5f
2026-08-21,erdos-97-96-formalization,17048,960255315,147587d
2026-08-28,erdos-97-96-formalization,17135,961653014,80f8468
2026-09-04,erdos-97-96-formalization,18235,966492998,4102716
2026-09-07,erdos-97-96-formalization,18332,969231895,a4f1ff1
2026-05-01,erdos-98,,,
2026-05-08,erdos-98,,,
2026-05-15,erdos-98,9,11926,c97af515
2026-05-22,erdos-98,49,959873,2c9ad57a
2026-05-29,erdos-98,78,2160386,367002c9
2026-06-05,erdos-98,82,2283394,55ac955e
2026-06-12,erdos-98,13981,704259510,3aa4f8c5
2026-06-19,erdos-98,14139,705196724,5f80b63b
2026-06-26,erdos-98,14178,706061486,cb167050
2026-07-03,erdos-98,14178,706061486,2202ac4b
2026-07-10,erdos-98,14178,706061486,2202ac4b
2026-07-17,erdos-98,14178,706061486,11b843ce
2026-07-24,erdos-98,14178,706061486,11b843ce
2026-07-31,erdos-98,14178,706061486,11b843ce
2026-08-07,erdos-98,14178,706061486,2f6cc5b0
2026-08-14,erdos-98,14178,706061486,2f6cc5b0
2026-08-21,erdos-98,14178,706061486,2f6cc5b0
2026-08-28,erdos-98,14178,706061486,25954306
2026-09-04,erdos-98,14178,706061486,25954306
2026-09-07,erdos-98,14178,706061486,25954306
2026-05-01,esgk-on3,,,
2026-05-08,esgk-on3,,,
2026-05-15,esgk-on3,,,
2026-05-22,esgk-on3,,,
2026-05-29,esgk-on3,12,133024,716e277
2026-06-05,esgk-on3,12,133024,716e277
2026-06-12,esgk-on3,12,133024,716e277
2026-06-19,esgk-on3,51,3207890,876590f
2026-06-26,esgk-on3,57,3710666,0ab3af7
2026-07-03,esgk-on3,57,3710666,e544053
2026-07-10,esgk-on3,58,3725860,b9afe56
2026-07-17,esgk-on3,70,3968283,173c215
2026-07-24,esgk-on3,70,3968283,173c215
2026-07-31,esgk-on3,70,3968283,0cb0e49
2026-08-07,esgk-on3,70,3968283,c5191b9
2026-08-14,esgk-on3,83,4137693,e6c5c5d
2026-08-21,esgk-on3,83,4137737,98eb56d
2026-08-28,esgk-on3,281,5686207,f1e3479
2026-09-04,esgk-on3,483,7384573,d1076d7
2026-09-07,esgk-on3,483,7384573,d1076d7
2026-05-01,schur-numbers,5675,8978664,535f36b
2026-05-08,schur-numbers,7196,12861686,f6ac9ef
2026-05-15,schur-numbers,7418,14736361,5bbc4e8
2026-05-22,schur-numbers,7418,14736361,5bbc4e8
2026-05-29,schur-numbers,7418,14736361,5bbc4e8
2026-06-05,schur-numbers,7505,15190913,527d0a7
2026-06-12,schur-numbers,7505,15190913,527d0a7
2026-06-19,schur-numbers,7505,15190913,9387208
2026-06-26,schur-numbers,7508,15213002,30c6419
2026-07-03,schur-numbers,7508,15213002,30c6419
2026-07-10,schur-numbers,7508,15213002,30c6419
2026-07-17,schur-numbers,7508,15213002,30c6419
2026-07-24,schur-numbers,7508,15213002,30c6419
2026-07-31,schur-numbers,7508,15269122,ea4bf53
2026-08-07,schur-numbers,7508,15269122,ea4bf53
2026-08-14,schur-numbers,7508,15269122,ea4bf53
2026-08-21,schur-numbers,7508,15269122,8e82e73
2026-08-28,schur-numbers,7624,15618457,8b9a4db
2026-09-04,schur-numbers,7634,15705756,792a1de
2026-09-07,schur-numbers,7634,15705756,792a1de
